Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2021,1,Gonzaga,WCC,0,0,37.47,126.7,89.2,74.9,0.018,7.21,105.7,98.5,5.51
2021,2,Baylor,B12,0,0,32.92,125.4,92.5,68.2,0.058,8.68,106.5,97.8,-4.48
2021,3,Michigan,B10,0,0,31.72,119.4,87.7,67.2,0.054,15.77,110.9,95.1,2.5
2021,4,Iowa,B10,0,0,30.4,125.8,95.4,70,-0.03,15.46,109.9,94.4,-5.45
2021,5,Illinois,B10,0,0,30.33,118.9,88.5,70.5,0.016,17.51,111.9,94.4,8.58
2021,6,Houston,Amer,0,0,28.9,117.7,88.8,65.4,-0.019,6.04,104,98,1.47
2021,7,Ohio St.,B10,0,0,25.88,122.8,96.9,67,-0.009,17.16,111.1,94,2.43
2021,8,Alabama,SEC,0,0,24.89,111.6,86.7,74.3,0.009,13.34,109.5,96.1,8.31
2021,9,Loyola Chicago,MVC,0,0,24.69,111.1,86.4,64.2,-0.02,3.61,104.3,100.7,4.09
2021,10,Villanova,BE,0,0,23.97,118.8,94.8,65.2,0.02,12.2,109,96.8,6.79
2021,11,Wisconsin,B10,0,0,23.73,113.4,89.7,65.2,-0.052,16.93,111.1,94.2,0.7
2021,12,Virginia,ACC,0,0,23.72,116.1,92.4,60.1,0.034,11.28,109.4,98.1,0.02
2021,13,Purdue,B10,0,0,23.61,114.2,90.5,66.7,0.029,16.38,111.1,94.7,5.23
2021,14,Florida St.,ACC,0,0,23.44,117.4,93.9,70.8,-0.008,11.16,108.5,97.3,4.05
2021,15,Colorado,P12,0,0,23.24,114.8,91.5,66.9,-0.041,9.49,107.3,97.8,0.71
2021,16,USC,P12,0,0,23.22,113,89.8,67.6,0.004,9.83,107.5,97.7,4.67
2021,17,Creighton,BE,0,0,22.98,117.1,94.1,69.4,-0.034,11.58,107.7,96.1,-1.93
2021,18,Arkansas,SEC,0,0,22.86,113.7,90.8,72.9,0.065,9.91,107.4,97.5,-5.84
2021,19,San Diego St.,MWC,0,0,22.32,111.1,88.8,66.4,-0.003,5.03,105.1,100.1,10.37
2021,20,Texas Tech,B12,0,0,21.98,113.3,91.3,65.5,-0.073,10.09,107.5,97.4,-6.08
2021,21,Kansas,B12,0,0,21.81,110.4,88.6,68.4,0.034,14.1,110,95.9,9.78
2021,22,Connecticut,BE,0,0,21.79,114.1,92.4,66,-0.05,12,108.1,96.1,-2.78
2021,23,Tennessee,SEC,0,0,21.73,109.3,87.6,67,0.005,11.22,108.1,96.9,-1.06
2021,24,BYU,WCC,0,0,21.72,113.8,92,68,0.045,9.64,107.7,98.1,8.12
