game_id,region,away_seed,away_key,away_school,home_seed,home_key,home_school,advance_to,home_win_chance,sim_reroll,sim_winner
1,First Four,11,WICHST,Wichita State,11,DRAKE,Drake,9,0,TBD,TBD
2,First Four,11,MST,Michigan State,11,UCLA,UCLA,17,0,TBD,TBD
3,First Four,16,NORFST,Norfolk State,16,APPLST,Appalachian State,5,0,TBD,TBD
4,First Four,16,MSTM,Mount St. Mary's,16,TXS,Texas Southern,13,0,TBD,TBD
5,West,16,TBD,TBD,1,GNZG,Gonzaga,37,0,TBD,TBD
6,West,9,MISSR,Missouri,8,OKL,Oklahoma,37,0,TBD,TBD
7,West,12,USCB,UC Santa Barbara,5,CREIGH,Creighton,38,0,TBD,TBD
8,West,13,OHIO,Ohio,4,VIR,Virginia,38,0,TBD,TBD
9,West,11,TBD,TBD,6,USC,USC,39,0,TBD,TBD
10,West,14,EWASH,Eastern Washington,3,KAN,Kansas,39,0,TBD,TBD
11,West,10,VCU,VCU,7,ORE,Oregon,40,0,TBD,TBD
12,West,15,GCAN,Grand Canyon,2,IOWA,Iowa,40,0,TBD,TBD
13,East,16,TBD,TBD,1,MICH,Michigan,41,0,TBD,TBD
14,East,9,STBON,St. Bonaventure,8,LSU,LSU,41,0,TBD,TBD
15,East,12,GEORGE,Georgetown,5,COL,Colorado,42,0,TBD,TBD
16,East,13,NCG,UNCG,4,FLST,Florida State,42,0,TBD,TBD
17,East,11,TBD,TBD,6,BYU,BYU,43,0,TBD,TBD
18,East,14,ABCHR,Abilene Christian,3,TX,Texas,43,0,TBD,TBD
19,East,10,MARY,Maryland,7,UCONN,Connecticut,44,0,TBD,TBD
20,East,15,IONA,Iona,2,ALA,Alabama,44,0,TBD,TBD
21,South,16,HARTFD,Hartford,1,BAYL,Baylor,45,0,TBD,TBD
22,South,9,WISC,Wisconsin,8,NCAR,North Carolina,45,0,TBD,TBD
23,South,12,WINTH,Winthrop,5,VILL,Villanova,46,0,TBD,TBD
24,South,13,NTX,North Texas,4,PUR,Purdue,46,0,TBD,TBD
25,South,11,UTAHST,Utah State,6,TXTECH,Texas Tech,47,0,TBD,TBD
26,South,14,COLG,Colgate,3,ARK,Arkansas,47,0,TBD,TBD
27,South,10,VTECH,Virginia Tech,7,FL,Florida,48,0,TBD,TBD
28,South,15,ORAL,Oral Roberts,2,OHIOST,Ohio State,48,0,TBD,TBD
29,Midwest,16,DREXEL,Drexel,1,ILL,Illinois,49,0,TBD,TBD
30,Midwest,9,GTECH,Georgia Tech,8,LOYCH,Loyola Chicago,49,0,TBD,TBD
31,Midwest,12,OREGST,Oregon State,5,TENN,Tennessee,50,0,TBD,TBD
32,Midwest,13,LIBRTY,Liberty,4,OKST,Oklahoma State,50,0,TBD,TBD
33,Midwest,11,SYRA,Syracuse,6,SDST,San Diego State,51,0,TBD,TBD
34,Midwest,14,MHST,Morehead State,3,WVIR,West Virginia,51,0,TBD,TBD
35,Midwest,10,RUTGER,Rutgers,7,CLMSN,Clemson,52,0,TBD,TBD
36,Midwest,15,CLVST,Cleveland State,2,HOU,Houston,52,0,TBD,TBD
37,West,TBD,TBD,TBD,TBD,TBD,TBD,53,0,TBD,TBD
38,West,TBD,TBD,TBD,TBD,TBD,TBD,53,0,TBD,TBD
39,West,TBD,TBD,TBD,TBD,TBD,TBD,54,0,TBD,TBD
40,West,TBD,TBD,TBD,TBD,TBD,TBD,54,0,TBD,TBD
41,East,TBD,TBD,TBD,TBD,TBD,TBD,55,0,TBD,TBD
42,East,TBD,TBD,TBD,TBD,TBD,TBD,55,0,TBD,TBD
43,East,TBD,TBD,TBD,TBD,TBD,TBD,56,0,TBD,TBD
44,East,TBD,TBD,TBD,TBD,TBD,TBD,56,0,TBD,TBD
45,South,TBD,TBD,TBD,TBD,TBD,TBD,57,0,TBD,TBD
