game_id,region,away_seed,away_key,away_school,home_seed,home_key,home_school,advance_to,real_winner
1,First Four,11,WICHST,Wichita State,11,DRAKE,Drake,9,DRAKE
2,First Four,11,MST,Michigan State,11,UCLA,UCLA,17,UCLA
3,First Four,16,NORFST,Norfolk State,16,APPLST,Appalachian State,5,NORFST
4,First Four,16,MSTM,Mount St. Mary's,16,TXS,Texas Southern,13,TXS
5,West,16,NORFST,Norfolk State,1,GNZG,Gonzaga,37,TBD
6,West,9,MISSR,Missouri,8,OKL,Oklahoma,37,TBD
7,West,12,USCB,UC Santa Barbara,5,CREIGH,Creighton,38,TBD
8,West,13,OHIO,Ohio,4,VIR,Virginia,38,TBD
9,West,11,DRAKE,Drake,6,USC,USC,39,TBD
10,West,14,EWASH,Eastern Washington,3,KAN,Kansas,39,TBD
11,West,10,VCU,VCU,7,ORE,Oregon,40,TBD
12,West,15,GCAN,Grand Canyon,2,IOWA,Iowa,40,TBD
13,East,16,TXS,Texas Southern,1,MICH,Michigan,41,TBD
14,East,9,STBON,St. Bonaventure,8,LSU,LSU,41,TBD
15,East,12,GEORGE,Georgetown,5,COL,Colorado,42,TBD
16,East,13,NCG,UNCG,4,FLST,Florida State,42,TBD
17,East,11,UCLA,UCLA,6,BYU,BYU,43,TBD
18,East,14,ABCHR,Abilene Christian,3,TX,Texas,43,TBD
19,East,10,MARY,Maryland,7,UCONN,Connecticut,44,TBD
20,East,15,IONA,Iona,2,ALA,Alabama,44,TBD
21,South,16,HARTFD,Hartford,1,BAYL,Baylor,45,BAYL
22,South,9,WISC,Wisconsin,8,NCAR,North Carolina,45,WISC
23,South,12,WINTH,Winthrop,5,VILL,Villanova,46,VILL
24,South,13,NTX,North Texas,4,PUR,Purdue,46,NTX
25,South,11,UTAHST,Utah State,6,TXTECH,Texas Tech,47,TXTECH
26,South,14,COLG,Colgate,3,ARK,Arkansas,47,ARK
27,South,10,VTECH,Virginia Tech,7,FL,Florida,48,FL
28,South,15,ORAL,Oral Roberts,2,OHIOST,Ohio State,48,ORAL
29,Midwest,16,DREXEL,Drexel,1,ILL,Illinois,49,ILL
30,Midwest,9,GTECH,Georgia Tech,8,LOYCH,Loyola Chicago,49,LOYCH
31,Midwest,12,OREGST,Oregon State,5,TENN,Tennessee,50,OREGST
32,Midwest,13,LIBRTY,Liberty,4,OKST,Oklahoma State,50,OKST
33,Midwest,11,SYRA,Syracuse,6,SDST,San Diego State,51,SYRA
34,Midwest,14,MHST,Morehead State,3,WVIR,West Virginia,51,WVIR
35,Midwest,10,RUTGER,Rutgers,7,CLMSN,Clemson,52,RUTGER
36,Midwest,15,CLVST,Cleveland State,2,HOU,Houston,52,HOU
37,West,TBD,TBD,TBD,TBD,TBD,TBD,53,TBD
38,West,TBD,TBD,TBD,TBD,TBD,TBD,53,TBD
39,West,TBD,TBD,TBD,TBD,TBD,TBD,54,TBD
40,West,TBD,TBD,TBD,TBD,TBD,TBD,54,TBD
41,East,TBD,TBD,TBD,TBD,TBD,TBD,55,TBD
42,East,TBD,TBD,TBD,TBD,TBD,TBD,55,TBD
43,East,TBD,TBD,TBD,TBD,TBD,TBD,56,TBD
44,East,TBD,TBD,TBD,TBD,TBD,TBD,56,TBD
45,South,1,BAYL,Baylor,9,WISC,Wisconsin,57,TBD
46,South,5,VILL,Villanova,13,NTX,North Texas,57,TBD
47,South,6,TXTECH,Texas Tech,3,ARK,Arkansas,58,TBD
48,South,7,FL,Florida,15,ORAL,Oral Roberts,58,TBD
49,Midwest,1,ILL,Illinois,8,LOYCH,Loyola Chicago,59,TBD
50,Midwest,12,OREGST,Oregon State,4,OKST,Oklahoma State,59,TBD
51,Midwest,11,SYRA,Syracuse,3,WVIR,West Virginia,60,TBD
52,Midwest,10,RUTGER,Rutgers,2,HOU,Houston,60,TBD
53,West,TBD,TBD,TBD,TBD,TBD,TBD,61,TBD
54,West,TBD,TBD,TBD,TBD,TBD,TBD,61,TBD
55,East,TBD,TBD,TBD,TBD,TBD,TBD,62,TBD
56,East,TBD,TBD,TBD,TBD,TBD,TBD,62,TBD
57,South,TBD,TBD,TBD,TBD,TBD,TBD,63,TBD
58,South,TBD,TBD,TBD,TBD,TBD,TBD,63,TBD
59,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,64,TBD
60,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,64,TBD
61,West,TBD,TBD,TBD,TBD,TBD,TBD,65,TBD
62,East,TBD,TBD,TBD,TBD,TBD,TBD,65,TBD
63,South,TBD,TBD,TBD,TBD,TBD,TBD,66,TBD
64,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,66,TBD
65,Final Four,TBD,TBD,TBD,TBD,TBD,TBD,67,TBD
66,Final Four,TBD,TBD,TBD,TBD,TBD,TBD,67,TBD
67,Championship,TBD,TBD,TBD,TBD,TBD,TBD,68,TBD
