test,SeasonTeamID,AdjD,AdjEM,AdjO,AdjT,Conf,Conference,GlobalTeamID,Key,L,Luck,NCAdjEM,Name,OppAdjEM,OppD,OppO,Rk,School,Season,ShortDisplayName,Stadium,TeamLogoUrl,W
0,600000032021,90.9,23.33,114.3,66.0,BE,Big East,60000003,UCONN,0,-0.066,-2.02,Huskies,12.6,95.3,107.9,16,Connecticut,2021,UCONN,"{'StadiumID': 290, 'Active': True, 'Name': 'Gampel Pavilion', 'Address': None, 'City': 'Storrs', 'State': 'CT', 'Zip': None, 'Country': None, 'Capacity': 10167}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/3.png,0
1,600000092021,98.1,1.79,99.8,68.2,Amer,American Athletic,60000009,ECAR,0,-0.016,-7.05,Pirates,5.33,98.5,103.9,165,East Carolina,2021,ECU,"{'StadiumID': 46, 'Active': True, 'Name': 'Minges Coliseum', 'Address': None, 'City': 'Greenville', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 8000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/9.png,0
2,600000062021,89.4,30.25,119.6,64.9,Amer,American Athletic,60000006,HOU,0,-0.009,1.63,Cougars,6.57,97.1,103.7,6,Houston,2021,UH,"{'StadiumID': 343, 'Active': True, 'Name': 'Fertitta Center', 'Address': None, 'City': 'Houston', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7100}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/6.png,0
3,600000112021,100.1,0.79,100.9,67.0,Amer,American Athletic,60000011,SFL,0,0.049,1.88,Bulls,9.08,96.6,105.7,177,South Florida,2021,USF,"{'StadiumID': 21, 'Active': True, 'Name': 'Yuengling Center', 'Address': None, 'City': 'Tampa', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 10411}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/11.png,0
4,600000102021,97.1,2.82,99.9,67.6,Amer,American Athletic,60000010,TULANE,0,0.013,-15.37,Green Wave,6.31,97.6,103.9,149,Tulane,2021,TULANE,"{'StadiumID': 176, 'Active': True, 'Name': 'Devlin Fieldhouse', 'Address': None, 'City': 'New Orleans', 'State': 'LA', 'Zip': None, 'Country': None, 'Capacity': 4100}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/10.png,0
5,600000122021,100.2,-4.77,95.4,66.8,AE,America East,60000012,STBR,0,-0.09,2.37,Seawolves,-3.14,103.2,100.0,230,Stony Brook,2021,STBR,"{'StadiumID': 339, 'Active': True, 'Name': 'Island FCU Arena', 'Address': None, 'City': 'Stony Brook', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 4000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/12.png,0
6,600000132021,103.1,-5.07,98.0,69.9,AE,America East,60000013,ALBNY,0,-0.079,-3.82,Great Danes,-4.53,103.3,98.8,234,Albany,2021,ALBANY,"{'StadiumID': 215, 'Active': True, 'Name': 'SEFCU Arena', 'Address': None, 'City': 'Albany', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 4538}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/13.png,0
7,600000142021,104.7,-7.99,96.7,66.8,AE,America East,60000014,NHAMP,0,0.056,-4.11,Wildcats,-6.29,103.5,97.2,265,New Hampshire,2021,UNH,"{'StadiumID': 231, 'Active': True, 'Name': 'Lundholm Gymnasium', 'Address': None, 'City': 'Durham', 'State': 'NH', 'Zip': None, 'Country': None, 'Capacity': 3000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/14.png,0
8,600000162021,104.9,-4.52,100.4,69.3,AE,America East,60000016,MASLOW,0,0.055,12.27,River Hawks,-1.93,102.1,100.2,228,Massachusetts-Lowell,2021,MASLOW,"{'StadiumID': 147, 'Active': True, 'Name': 'Costello Athletic Center', 'Address': None, 'City': 'Lowell', 'State': 'MA', 'Zip': None, 'Country': None, 'Capacity': 2100}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
9,600000152021,101.1,5.05,106.2,66.7,AE,America East,60000015,VERM,0,-0.069,-99.0,Catamounts,-7.97,104.2,96.2,130,Vermont,2021,UVM,"{'StadiumID': 252, 'Active': True, 'Name': 'Patrick Gymnasium', 'Address': None, 'City': 'Burlington', 'State': 'VT', 'Zip': None, 'Country': None, 'Capacity': 3266}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
10,600000172021,104.7,-18.17,86.5,64.9,AE,America East,60000017,MAINE,0,0.028,6.58,Black Bears,-0.88,101.6,100.7,344,Maine,2021,MAINE,"{'StadiumID': 298, 'Active': True, 'Name': 'Cross Insurance Center', 'Address': None, 'City': 'Bangor', 'State': 'ME', 'Zip': None, 'Country': None, 'Capacity': 5800}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/17.png,0
11,600000182021,99.5,-1.3,98.2,66.7,AE,America East,60000018,HARTFD,0,0.078,-0.13,Hawks,-6.24,104.4,98.2,192,Hartford,2021,HARTFD,"{'StadiumID': 27, 'Active': True, 'Name': 'Chase Arena', 'Address': None, 'City': 'West Hartford', 'State': 'CT', 'Zip': None, 'Country': None, 'Capacity': 3507}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
12,600000192021,99.7,1.75,101.4,67.9,AE,America East,60000019,UMBC,0,-0.013,-3.09,Retrievers,-4.58,103.2,98.6,166,UMBC,2021,UMBC,"{'StadiumID': 449, 'Active': True, 'Name': 'UMBC Event Center', 'Address': None, 'City': 'Baltimore', 'State': 'MD', 'Zip': None, 'Country': None, 'Capacity': 4654}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
13,600000202021,111.3,-13.48,97.8,66.3,AE,America East,60000020,BING,0,-0.095,-8.09,Bearcats,-4.12,102.4,98.3,322,Binghamton,2021,BING,"{'StadiumID': 52, 'Active': True, 'Name': 'Events Center (Binghamton)', 'Address': None, 'City': 'Binghamton', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 5142}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
14,600000052021,96.9,5.95,102.9,65.8,Amer,American Athletic,60000005,TULSA,0,-0.024,-3.93,Golden Hurricane,7.99,97.0,105.0,125,Tulsa,2021,TULSA,"{'StadiumID': 48, 'Active': True, 'Name': 'Reynolds Center', 'Address': None, 'City': 'Tulsa', 'State': 'OK', 'Zip': None, 'Country': None, 'Capacity': 8355}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/5.png,0
15,600000212021,89.3,21.52,110.8,71.8,ACC,Atlantic Coast,60000021,NCAR,0,-0.017,7.67,Tar Heels,14.2,96.5,110.7,28,North Carolina,2021,UNC,"{'StadiumID': 185, 'Active': True, 'Name': 'Dean E. Smith Center', 'Address': None, 'City': 'Chapel Hill', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 21750}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/21.png,0
16,600000012021,95.0,15.27,110.2,69.0,Amer,American Athletic,60000001,SMU,0,0.022,-8.84,Mustangs,7.3,96.7,104.0,59,SMU,2021,SMU,"{'StadiumID': 101, 'Active': True, 'Name': 'Moody Coliseum', 'Address': None, 'City': 'Dallas', 'State': 'TX', 'Zip': None, 'Country': None, 'Capacity': 7000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/1.png,0
17,600000222021,92.3,24.08,116.3,60.1,ACC,Atlantic Coast,60000022,VIR,0,0.046,0.28,Cavaliers,12.02,97.6,109.6,11,Virginia,2021,VIR,"{'StadiumID': 4, 'Active': True, 'Name': 'John Paul Jones Arena', 'Address': None, 'City': 'Charlottesville', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 14593}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/22.png,0
18,600000072021,86.0,18.12,104.2,72.1,Amer,American Athletic,60000007,MPHS,0,-0.09,1.08,Tigers,6.96,97.7,104.6,38,Memphis,2021,MEM,"{'StadiumID': 47, 'Active': True, 'Name': 'FedExForum', 'Address': None, 'City': 'Memphis', 'State': 'TN', 'Zip': None, 'Country': None, 'Capacity': 18400}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/7.png,0
19,600000272021,90.0,17.59,107.6,64.2,ACC,Atlantic Coast,60000027,CLMSN,0,0.123,11.65,Tigers,14.19,95.3,109.5,42,Clemson,2021,CLEM,"{'StadiumID': 13, 'Active': True, 'Name': 'Littlejohn Coliseum', 'Address': None, 'City': 'Clemson', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 9000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/27.png,0
20,600000292021,93.6,23.5,117.1,70.6,ACC,Atlantic Coast,60000029,FLST,0,-0.011,4.23,Seminoles,12.54,96.2,108.8,15,Florida State,2021,FSU,"{'StadiumID': 11, 'Active': True, 'Name': 'Donald L. Tucker Center', 'Address': None, 'City': 'Tallahassee', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 11500}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/29.png,0
21,600000282021,98.2,10.59,108.8,68.6,ACC,Atlantic Coast,60000028,PITT,0,-0.068,-4.37,Panthers,10.65,97.6,108.3,89,Pittsburgh,2021,PITT,"{'StadiumID': 31, 'Active': True, 'Name': 'Petersen Events Center', 'Address': None, 'City': 'Pittsburgh', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 12508}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/28.png,0
22,600000342021,100.7,1.37,102.1,67.3,ACC,Atlantic Coast,60000034,WAKE,0,-0.109,-17.76,Demon Deacons,13.66,96.7,110.3,170,Wake Forest,2021,WAKE,"{'StadiumID': 152, 'Active': True, 'Name': 'Lawrence Joel Coliseum', 'Address': None, 'City': 'Winston-Salem', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 14665}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/34.png,0
23,600000312021,94.1,16.65,110.7,66.2,ACC,Atlantic Coast,60000031,VTECH,0,0.066,0.54,Hokies,9.31,98.2,107.6,50,Virginia Tech,2021,VTECH,"{'StadiumID': 107, 'Active': True, 'Name': 'Cassell Coliseum', 'Address': None, 'City': 'Blacksburg', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 9275}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/31.png,0
24,600000242021,93.0,15.53,108.5,66.0,ACC,Atlantic Coast,60000024,LOU,0,0.118,7.4,Cardinals,13.4,96.4,109.8,54,Louisville,2021,LOU,"{'StadiumID': 97, 'Active': True, 'Name': 'KFC Yum! Center', 'Address': None, 'City': 'Louisville', 'State': 'KY', 'Zip': None, 'Country': None, 'Capacity': 22090}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/24.png,0
25,600000302021,96.9,17.66,114.5,69.2,ACC,Atlantic Coast,60000030,SYRA,0,0.017,2.46,Orange,11.66,96.8,108.5,41,Syracuse,2021,SYRA,"{'StadiumID': 10, 'Active': True, 'Name': 'Carrier Dome', 'Address': None, 'City': 'Syracuse', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 34616}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/30.png,0
26,600000232021,97.9,4.92,102.8,68.1,ACC,Atlantic Coast,60000023,MIA,0,0.019,-7.99,Hurricanes,12.04,97.2,109.2,132,Miami (FL),2021,MIA,"{'StadiumID': 115, 'Active': True, 'Name': 'Watsco Center', 'Address': None, 'City': 'Coral Gables', 'State': 'FL', 'Zip': None, 'Country': None, 'Capacity': 7972}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/23.png,0
27,600000252021,102.4,12.13,114.6,67.5,ACC,Atlantic Coast,60000025,ND,0,-0.029,14.35,Fighting Irish,14.55,96.2,110.7,81,Notre Dame,2021,ND,"{'StadiumID': 32, 'Active': True, 'Name': 'Purcell Pavilion', 'Address': None, 'City': 'South Bend', 'State': 'IN', 'Zip': None, 'Country': None, 'Capacity': 9149}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/25.png,0
28,600000322021,94.1,19.98,114.0,67.8,ACC,Atlantic Coast,60000032,GTECH,0,-0.005,-0.99,Yellow Jackets,12.25,96.5,108.7,32,Georgia Tech,2021,GTECH,"{'StadiumID': 129, 'Active': True, 'Name': 'McCamish Pavilion', 'Address': None, 'City': 'Atlanta', 'State': 'GA', 'Zip': None, 'Country': None, 'Capacity': 8600}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/32.png,0
29,600000262021,95.9,19.61,115.5,68.9,ACC,Atlantic Coast,60000026,DUKE,0,-0.109,5.5,Blue Devils,12.47,96.5,109.0,33,Duke,2021,DUKE,"{'StadiumID': 211, 'Active': True, 'Name': 'Cameron Indoor Stadium', 'Address': None, 'City': 'Durham', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 9314}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/26.png,0
30,600000332021,97.0,13.09,110.1,68.2,ACC,Atlantic Coast,60000033,NCST,0,0.002,-6.35,Wolfpack,10.69,98.1,108.8,73,North Carolina State,2021,NCSU,"{'StadiumID': 145, 'Active': True, 'Name': 'PNC Arena', 'Address': None, 'City': 'Raleigh', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 22900}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/33.png,0
