,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
0,562689,43,9,66,502.5,552.5,502.5,246,111,45.1,51,39,76.5,31,814,Andrew Fleming,44,50,60000048,299,G,110,2020,1,20,LIPSC,40,101,38,37.6,51,145,73,50.3,0.7647058964,0.3762376308,0.5894308686,0.5034482479
1,557144,32,0,42,254.4,284.0,254.4,123,49,39.8,60,48,80.0,27,692,Torry Johnson,10,60,60000610,157,G,52,2020,1,15,WAKE,34,39,11,28.2,43,84,38,45.2,0.8000000119,0.282051295,0.6829268336,0.4523809552
2,560221,82,4,111,649.8,700.0,649.8,279,107,38.4,105,75,71.4,30,996,Eric McGill,23,43,60000636,329,G,134,2020,1,38,SILL,205,108,40,37.0,47,171,67,39.2,0.7142857313,0.3703703582,0.6129032373,0.391812861
3,592955,2,0,4,15.2,18.0,15.2,15,4,26.7,0,0,0.0,2,35,Jaylin Stewart,2,5,60000638,9,F,6,2020,1,0,COKER,749,5,1,20.0,4,10,3,30.0,0.0,0.200000003,0.6666666865,0.3000000119
4,572720,0,0,0,9.4,10.0,9.4,5,3,60.0,4,2,50.0,6,14,Sam Dunkum,2,2,60000642,8,C,2,2020,1,0,ARLR,323,0,0,0.0,1,5,3,60.0,0.5,0.0,1.0,0.6000000238
5,555471,57,2,30,411.3,462.0,411.3,192,81,42.2,44,41,93.2,31,765,Ryan McMahon,4,45,60000197,271,G,34,2020,1,20,LOU,24,156,68,43.6,30,36,13,36.1,0.9318181872,0.4358974397,0.1875,0.3611111045
6,560421,48,17,155,770.0,813.0,770.0,248,150,60.5,101,66,65.3,34,731,Scottie James,95,76,60000420,367,F,250,2020,1,18,LIBRTY,84,6,1,16.7,39,242,149,61.6,0.6534653306,0.1666666716,0.9758064747,0.6157024503
7,569983,1,0,1,2.7,3.25,2.7,3,0,0.0,2,1,50.0,8,11,Jacob Orender,0,2,60000649,1,G,1,2020,1,0,CAH,251,3,0,0.0,1,0,0,0.0,0.5,0.0,0.0,0.0
8,557038,4,16,33,232.2,248.5,232.2,90,55,61.1,19,13,68.4,29,311,Dominik Olejniczak,33,46,60000661,123,C,66,2020,1,9,FLST,29,0,0,0.0,26,90,55,61.1,0.6842105389,0.0,1.0,0.6111111045
9,555011,51,6,110,717.1,787.5,717.1,361,154,42.7,129,101,78.3,31,948,Billy Wampler,28,58,60000666,483,F,138,2020,1,15,WRGHT,150,183,74,40.4,50,178,80,44.9,0.7829457521,0.4043715894,0.4930748045,0.4494382143
