,_id,bracket,flavor
0,604f65f0703765556446adcf,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'STBON', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'CREIGH', '39': 'USC', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'PUR', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'TENN', '51': 'SYRA', '52': 'HOU', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'TX', '57': 'WISC', '58': 'ARK', '59': 'ILL', '60': 'SYRA', '61': 'GNZG', '62': 'MICH', '63': 'ARK', '64': 'ILL', '65': 'MICH', '66': 'ILL', '67': 'ILL'}",mild
1,604f678fab29f9529a46adcf,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'UTAHST', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'OREGST', '32': 'LIBRTY', '33': 'SDST', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'ALA', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OREGST', '51': 'WVIR', '52': 'RUTGER', '53': 'GNZG', '54': 'KAN', '55': 'MICH', '56': 'ALA', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'WVIR', '61': 'GNZG', '62': 'ALA', '63': 'OHIOST', '64': 'ILL', '65': 'ALA', '66': 'ILL', '67': 'ILL'}",medium
2,604f691ebed2e824a04393ec,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'DRAKE', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'MHST', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'DRAKE', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'VILL', '47': 'TXTECH', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'GNZG', '54': 'IOWA', '55': 'COL', '56': 'TX', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'SYRA', '61': 'GNZG', '62': 'TX', '63': 'OHIOST', '64': 'ILL', '65': 'GNZG', '66': 'OHIOST', '67': 'OHIOST'}",mild
3,604f6a91bed2e824a04393ed,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'DRAKE', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'UCLA', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'UTAHST', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'OREGST', '32': 'LIBRTY', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'UCLA', '44': 'MARY', '45': 'WISC', '46': 'PUR', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'LIBRTY', '51': 'SYRA', '52': 'RUTGER', '53': 'VIR', '54': 'IOWA', '55': 'MICH', '56': 'MARY', '57': 'WISC', '58': 'OHIOST', '59': 'ILL', '60': 'RUTGER', '61': 'IOWA', '62': 'MARY', '63': 'OHIOST', '64': 'ILL', '65': 'MARY', '66': 'OHIOST', '67': 'OHIOST'}",mild
4,604f6b11bed2e824a04393ee,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'STBON', '15': 'GEORGE', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'TENN', '32': 'LIBRTY', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'USC', '40': 'IOWA', '41': 'STBON', '42': 'GEORGE', '43': 'TX', '44': 'ALA', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'TENN', '51': 'SYRA', '52': 'RUTGER', '53': 'VIR', '54': 'IOWA', '55': 'STBON', '56': 'TX', '57': 'WISC', '58': 'OHIOST', '59': 'ILL', '60': 'SYRA', '61': 'VIR', '62': 'STBON', '63': 'WISC', '64': 'ILL', '65': 'VIR', '66': 'ILL', '67': 'VIR'}",mild
5,604f6b56bed2e824a04393ef,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'VCU', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'COLG', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'TENN', '32': 'OKST', '33': 'SDST', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'CREIGH', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'MARY', '45': 'WISC', '46': 'VILL', '47': 'TXTECH', '48': 'OHIOST', '49': 'LOYCH', '50': 'TENN', '51': 'WVIR', '52': 'RUTGER', '53': 'CREIGH', '54': 'IOWA', '55': 'COL', '56': 'MARY', '57': 'VILL', '58': 'TXTECH', '59': 'TENN', '60': 'WVIR', '61': 'IOWA', '62': 'MARY', '63': 'TXTECH', '64': 'TENN', '65': 'IOWA', '66': 'TENN', '67': 'IOWA'}",medium
6,604f6b5fbed2e824a04393f0,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'GEORGE', '16': 'FLST', '17': 'MST', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'CREIGH', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'GEORGE', '43': 'MST', '44': 'MARY', '45': 'BAYL', '46': 'PUR', '47': 'TXTECH', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'HOU', '53': 'CREIGH', '54': 'IOWA', '55': 'MICH', '56': 'MST', '57': 'PUR', '58': 'TXTECH', '59': 'ILL', '60': 'SYRA', '61': 'IOWA', '62': 'MST', '63': 'PUR', '64': 'ILL', '65': 'IOWA', '66': 'ILL', '67': 'ILL'}",medium
7,604f6c3ebed2e824a04393f1,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'DRAKE', '10': 'KAN', '11': 'VCU', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'NCAR', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'CLMSN', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'MARY', '45': 'NCAR', '46': 'VILL', '47': 'TXTECH', '48': 'OHIOST', '49': 'GTECH', '50': 'OKST', '51': 'SYRA', '52': 'HOU', '53': 'VIR', '54': 'KAN', '55': 'COL', '56': 'MARY', '57': 'VILL', '58': 'TXTECH', '59': 'GTECH', '60': 'SYRA', '61': 'VIR', '62': 'MARY', '63': 'VILL', '64': 'GTECH', '65': 'VIR', '66': 'GTECH', '67': 'VIR'}",medium
8,604f6c96bed2e824a04393f2,"{'01': 'WICHST', '02': 'UCLA', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'GEORGE', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'NTX', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'CLMSN', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'USC', '40': 'IOWA', '41': 'MICH', '42': 'FLST', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'NTX', '47': 'TXTECH', '48': 'OHIOST', '49': 'ILL', '50': 'OREGST', '51': 'SYRA', '52': 'HOU', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'TX', '57': 'WISC', '58': 'OHIOST', '59': 'ILL', '60': 'SYRA', '61': 'IOWA', '62': 'MICH', '63': 'WISC', '64': 'ILL', '65': 'IOWA', '66': 'ILL', '67': 'ILL'}",medium
9,604f6cb7bed2e824a04393f3,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'OHIO', '09': 'DRAKE', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'NCAR', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'OREGST', '32': 'LIBRTY', '33': 'SYRA', '34': 'WVIR', '35': 'CLMSN', '36': 'CLVST', '37': 'GNZG', '38': 'CREIGH', '39': 'DRAKE', '40': 'IOWA', '41': 'MICH', '42': 'FLST', '43': 'TX', '44': 'ALA', '45': 'BAYL', '46': 'VILL', '47': 'ARK', '48': 'VTECH', '49': 'ILL', '50': 'LIBRTY', '51': 'WVIR', '52': 'CLVST', '53': 'CREIGH', '54': 'IOWA', '55': 'MICH', '56': 'TX', '57': 'VILL', '58': 'ARK', '59': 'ILL', '60': 'CLVST', '61': 'IOWA', '62': 'MICH', '63': 'ARK', '64': 'ILL', '65': 'IOWA', '66': 'ARK', '67': 'IOWA'}",medium
