,_id,away_key,home_key,home_win_chance_max,home_win_chance_median,home_win_chance_medium,home_win_chance_mild,max_margin_bottom,max_margin_top,median_margin,median_margin_bottom,median_margin_top,medium_margin_bottom,medium_margin_top,mild_margin_bottom,mild_margin_top,season
0,604eaa07846b888c6d250a8e,WICHST,OHIO,0.627,1.0,0.6588089330024814,0.754863813229572,-45,51,5,1,9,-13,24,-5,15,2021
1,604eaa28c6bed40d88bc52a5,WICHST,UTAHST,0.608,1.0,0.6320987654320988,0.7062256809338522,-42,46,5,1,8,-14,23,-6,14,2021
2,604eaa2c5a0a9cf0e7e64e25,WICHST,MST,0.715,1.0,0.7668711656441718,0.9182509505703422,-43,48,8,4,12,-11,26,-2,17,2021
3,604eaa371efa6f8d3744c45a,WICHST,STBON,0.706,1.0,0.7564575645756457,0.8916349809885932,-36,48,8,4,11,-12,26,-3,16,2021
4,604eaa3b4c8b3d01b83b6846,WICHST,WISC,0.858,1.0,0.9457459926017263,1.0,-28,60,15,12,18,-3,34,6,25,2021
5,604eaa3d064ea3d113421c40,WICHST,VCU,0.509,0.5740740740740741,0.508578431372549,0.5326923076923077,-55,43,1,-3,4,-19,18,-10,10,2021
6,604eaa3d199fbc668ecf31c7,WICHST,IONA,0.154,0.0,0.07749077490774908,0.0,-63,31,-15,-18,-11,-33,5,-24,-5,2021
7,604eaa422f5a8f3b7c8248bf,WICHST,NORFST,0.172,0.0,0.09494451294697903,0.0,-66,33,-14,-18,-10,-32,5,-24,-5,2021
8,604eaa4305f2a6627b5c50d5,WICHST,MARY,0.848,1.0,0.9272503082614056,1.0,-26,64,15,11,18,-4,32,5,24,2021
9,604eaa44fe353c137ef79c2b,WICHST,MSTM,0.345,0.0,0.3064516129032258,0.20039292730844793,-52,45,-5,-8,-2,-24,12,-14,4,2021
10,604eaa48c8e1d3217e900d46,WICHST,NCG,0.492,0.43636363636363634,0.48941469489414696,0.4756554307116105,-50,44,-1,-4,3,-17,19,-10,9,2021
11,604eaa4b4203e33c44047b47,WICHST,EWASH,0.497,0.4474885844748858,0.49814126394052044,0.48532289628180036,-45,49,-1,-5,3,-21,19,-11,9,2021
12,604eaa4ebfc99bb72327636e,WICHST,WINTH,0.298,0.0,0.2506203473945409,0.13644859813084112,-55,34,-8,-11,-4,-27,10,-18,3,2021
13,604eaa4fae6dd1a35c27c50e,WICHST,USCB,0.52,0.6255506607929515,0.5296296296296297,0.5293040293040293,-47,41,1,-3,5,-16,19,-9,11,2021
14,604eaa526dbd8f66ede8a42f,WICHST,GCAN,0.378,0.0,0.3590686274509804,0.25471698113207547,-47,50,-5,-8,-1,-21,15,-15,6,2021
15,604eaa55b9c0234a862b0967,WICHST,HARTFD,0.245,0.0,0.1928746928746929,0.0,-58,35,-10,-13,-6,-27,8,-20,-1,2021
16,604eaa57aaa32f99811464d4,WICHST,GEORGE,0.668,1.0,0.7079207920792079,0.820952380952381,-39,56,6,3,9,-13,24,-4,15,2021
17,604eaa58a67402cc3d69d2e2,WICHST,ABCHR,0.233,0.0,0.173053152039555,0.0,-62,34,-10,-14,-7,-28,8,-20,-1,2021
18,604eaa65c561765995e28958,WICHST,MISSR,0.705,1.0,0.7531017369727047,0.8597785977859779,-41,50,8,5,11,-10,25,-3,17,2021
19,604eaa6e0ed4c98a577e61bf,WICHST,NTX,0.646,1.0,0.6840148698884758,0.787109375,-45,48,6,3,10,-13,23,-4,15,2021
20,604eab668dc18d84861eeb44,WICHST,GTECH,0.785,1.0,0.8527227722772277,1.0,-36,64,11,7,15,-7,30,2,20,2021
21,604eab6919c4dcf7ed44c45a,WICHST,DREXEL,0.352,0.0,0.3124231242312423,0.22519083969465647,-42,38,-6,-9,-2,-22,13,-14,5,2021
22,604eab6d367da9ab43604a3b,WICHST,COLG,0.438,0.23605150214592274,0.4261294261294261,0.372848948374761,-46,42,-3,-7,2,-22,17,-13,8,2021
23,604eab72b1ae8f3c65bc52a5,WICHST,CLVST,0.364,0.0,0.33978234582829503,0.23314065510597304,-71,40,-5,-9,-2,-24,13,-15,5,2021
24,604eab7363eaa7765ecf31c7,WICHST,LIBRTY,0.653,1.0,0.6826568265682657,0.7988505747126436,-34,46,5,2,9,-14,23,-5,15,2021
25,604eab7f064ea3d113421c50,WICHST,SYRA,0.846,1.0,0.9315068493150684,1.0,-32,54,14,10,18,-4,31,5,23,2021
26,604eab84846b888c6d250a9e,WICHST,MHST,0.484,0.4511627906976744,0.47820672478206727,0.4619771863117871,-48,52,-1,-4,3,-19,18,-11,9,2021
27,604eab88683058f644d728ec,WICHST,APPLST,0.465,0.38267148014440433,0.45241038318912236,0.4418604651162791,-49,43,-2,-5,3,-19,17,-10,9,2021
28,604eab8ba15aa82e97e64e25,WICHST,RUTGER,0.797,1.0,0.8683229813664596,1.0,-31,52,11,8,14,-7,29,2,21,2021
29,604eab8fed39b4154c5c1c2b,WICHST,ORE,0.747,1.0,0.8017241379310345,0.96045197740113,-38,60,10,6,13,-9,27,-1,19,2021
30,604eab975eb1bdb13127c50e,WICHST,TXS,0.145,0.0,0.058530510585305104,0.0,-55,28,-15,-18,-11,-32,3,-24,-5,2021
31,604eab9a30e94052f93b6846,WICHST,MICH,0.889,1.0,0.9777227722772277,1.0,-34,62,17,13,20,-1,34,7,27,2021
32,604eab9b2f5a8f3b7c8248cf,WICHST,CREIGH,0.79,1.0,0.8594527363184079,1.0,-29,66,12,8,15,-7,30,3,22,2021
33,604eaba03549d68b832b0967,WICHST,OKL,0.763,1.0,0.8225806451612904,1.0,-37,54,10,7,13,-10,25,1,19,2021
34,604eaba6f701b682992b96b6,WICHST,OREGST,0.616,1.0,0.6386138613861386,0.7423076923076923,-35,59,5,1,9,-14,22,-5,15,2021
35,604eabaed299600ac6f73fcc,WICHST,VTECH,0.655,1.0,0.6889714993804213,0.7965451055662188,-45,53,6,3,10,-13,24,-5,16,2021
36,604eabb7d5771a2b06f79c2b,WICHST,IOWA,0.954,1.0,1.0,1.0,-21,67,23,19,26,5,41,13,32,2021
37,604eabbb2869409bf50c9f9f,WICHST,DRAKE,0.707,1.0,0.7475369458128078,0.8996138996138996,-43,56,8,5,11,-11,26,-2,17,2021
38,604eabc1fe95128f1cb05c7c,WICHST,ORAL,0.6,1.0,0.6242350061199511,0.7009708737864078,-45,54,4,1,7,-15,23,-6,13,2021
39,604eabc6a3df40d95829577b,WICHST,GNZG,0.858,1.0,0.9429280397022333,1.0,-36,61,15,12,19,-3,35,6,26,2021
40,604eac914573c06d60264f17,WICHST,VILL,0.819,1.0,0.8913308913308914,1.0,-39,61,13,9,16,-6,33,4,23,2021
41,604eac9542fdc29d67afd92e,WICHST,BAYL,0.779,1.0,0.8471023427866831,1.0,-30,54,11,8,14,-8,30,2,21,2021
42,604eac998c9fc7ffcab05295,WICHST,BYU,0.784,1.0,0.8473748473748474,1.0,-36,61,10,8,13,-8,29,2,20,2021
43,604eaca0bcc2efd67b69d2e2,WICHST,TX,0.766,1.0,0.8345679012345679,1.0,-35,54,11,8,15,-8,29,1,20,2021
44,604eacadf1537839c3b9dbc7,WICHST,ALA,0.729,1.0,0.7863354037267081,0.949119373776908,-48,50,9,5,13,-10,27,-1,18,2021
45,604eacb68fb89ba4acd728ec,WICHST,TXTECH,0.687,1.0,0.7307692307692307,0.8582230623818525,-45,65,7,3,10,-12,25,-3,17,2021
46,604eacb9b0c99457d51464d4,WICHST,COL,0.772,1.0,0.8401486988847584,1.0,-36,55,10,7,13,-6,28,2,19,2021
47,604eacbd846b888c6d250aae,WICHST,PUR,0.776,1.0,0.8302808302808303,1.0,-42,55,10,7,14,-8,29,2,20,2021
48,604eacc96a788db77527636e,WICHST,LSU,0.836,1.0,0.917283950617284,1.0,-37,62,14,10,17,-5,32,5,24,2021
49,604eacd04fb17689b853cfb3,WICHST,WVIR,0.71,1.0,0.7561881188118812,0.9110671936758893,-33,53,8,5,12,-11,26,-2,17,2021
50,604eacd8b46b3b8f16e28958,WICHST,FLST,0.688,1.0,0.7369727047146402,0.8402255639097744,-50,57,6,3,10,-10,24,-3,15,2021
51,604eacd930e94052f93b6856,WICHST,TENN,0.73,1.0,0.7785977859778598,0.9314814814814815,-39,51,9,5,12,-9,26,-1,18,2021
52,604eacdff4ec06d8701eeb44,WICHST,FL,0.638,1.0,0.6724137931034483,0.7672583826429981,-42,57,5,2,8,-14,23,-5,14,2021
53,604eace04d376aec5e7e61bf,WICHST,NCAR,0.694,1.0,0.7401960784313726,0.8786692759295499,-41,45,7,4,10,-11,25,-3,15,2021
54,604eace8b1ae8f3c65bc52b5,WICHST,OKST,0.717,1.0,0.7682775712515489,0.8990476190476191,-39,48,9,5,12,-10,27,-2,18,2021
55,604eacea6318d29bb18248bf,WICHST,SDST,0.584,0.8483606557377049,0.6061728395061728,0.6449136276391555,-39,45,3,-1,7,-15,22,-7,13,2021
56,604eacf1064ea3d113421c60,WICHST,LOYCH,0.689,1.0,0.7351485148514851,0.8592592592592593,-36,51,7,4,11,-10,25,-3,17,2021
57,604eacf45a0a9cf0e7e64e35,WICHST,ARK,0.755,1.0,0.8099878197320342,1.0,-35,59,11,7,14,-8,29,1,20,2021
