,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
0,G0001,Time Crisis 2,,ARC,Light gun shooter,N,Completed,,,,,,,,"Played through the entire game (with quarters!) Back in the late 90s as an 8 year old, myself, a fellow 3rd grade friend, and two of our summer camp junior counselors played through this game all the way at the arcade, rotating 2-and-2 when we died...just for the quality of the experience back then, this game gets 5 stars."
1,G0002,Guild Wars 2,,PC,MMORPG,N,Infinite,260.0,23.0,Actual,,,,,
2,G0003,MapleStory,,PC,MMORPG,N,Infinite,4156.0,0.0,Estimate,,,,,"My most played game. 2156 hours tracked via Xfire, estimated 2000 more before/after the Xfire days."
3,G0004,Need for Speed II,,PC,Racing,N,Completed,,,,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,
4,G0005,RollerCoaster Tycoon,,PC,Simulation,N,Beaten,,,,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,,
5,G0006,StarCraft,,PC,Real-time strategy,N,Completed,,,,2013-02-15 16:00:00,2013-02-15 16:00:00,2013-02-15 16:00:00,2013-02-15 16:00:00,
6,G0007,Dr. Mario,,NES,Puzzle,N,Infinite,,,,,,,,
7,G0008,Excitebike,,NES,Racing,N,Infinite,,,,,,,,
8,G0009,Ivan 'Ironman' Stewart's Super Off Road,,NES,Racing,N,Completed,,,,,,,,
9,G0010,Kirby's Adventure,,NES,Platformer,N,Completed,,,,,,,,
10,G0011,Marble Madness,,NES,Platformer,N,Completed,,,,,,,,
11,G0012,Super Mario Bros.,,NES,Platformer,N,Completed,,,,,,,,
12,G0013,Dr. Robotnik's Mean Bean Machine,,GEN,Puzzle,N,Beaten,,,,,,,,
13,G0014,Sonic 3D Blast,,GEN,Platformer,N,Completed,,,,2013-06-28 16:00:00,2013-06-28 16:00:00,2013-06-28 16:00:00,2013-06-28 16:00:00,
14,G0015,Sonic Spinball,,GEN,Pinball,N,Completed,,,,,,,,
15,G0016,Sonic the Hedgehog,,GEN,Platformer,N,Beaten,,,,,,,,
16,G0017,Sonic the Hedgehog 2,,GEN,Platformer,N,Completed,,,,,,,,
17,G0018,1080 Snowboarding,,N64,Racing,N,Completed,,,,,,,,
18,G0019,Beetle Adventure Racing!,,N64,Racing,N,Completed,,,,,,,,
19,G0020,Diddy Kong Racing,,N64,Racing,N,Completed,,,,,,,,
20,G0021,Madden '99,,N64,Sports,N,Beaten,,,,,,,,
21,G0022,Mario Golf,,N64,Sports,N,Completed,,,,,,,,
22,G0023,Mario Kart 64,,N64,Racing,N,Completed,,,,,,,,
23,G0024,Mario Party,,N64,Party,N,Completed,,,,,,,,
24,G0025,Mario Tennis,,N64,Sports,N,Beaten,,,,,,,,
25,G0026,Mischief Makers,,N64,Platformer,N,Beaten,,,,,,,,
26,G0027,Off Road Challenge,,N64,Racing,N,Completed,,,,,,,,
27,G0028,Paper Mario,,N64,RPG,N,Beaten,22.0,58.0,Actual,,,,,
28,G0029,Pokemon Snap,,N64,Simulation,N,Completed,,,,,,,,
29,G0030,Pokemon Stadium,,N64,RPG,N,Beaten,,,,,,,,
30,G0031,Star Fox 64,,N64,Rail shooter,N,Completed,,,,,,,,
31,G0032,Super Mario 64,,N64,Platformer,N,Completed,,,,,,,,
32,G0033,The Legend of Zelda: Ocarina of Time,,N64,Action-adventure,N,Beaten,,,,,,,,
33,G0034,Wave Race 64,,N64,Racing,N,Completed,,,,,,,,
34,G0035,Yoshi's Story,,N64,Platformer,N,Beaten,,,,,,,,
35,G0036,Bugs Bunny in Double Trouble,,GG,Platformer,N,Completed,,,,,,,,
36,G0037,Ms. PAC-MAN,,GG,Maze,N,Infinite,,,,,,,,
37,G0038,Sonic 2,,GG,Platformer,N,Beaten,,,,,,,,
38,G0039,Sonic Chaos,,GG,Platformer,N,Beaten,,,,,,,,
39,G0040,Sonic Labyrinth,,GG,Puzzle,N,Completed,,,,2014-05-29 16:00:00,2014-05-29 16:00:00,2014-05-29 16:00:00,2014-05-29 16:00:00,
40,G0041,Sonic the Hedgehog: Triple Trouble,,GG,Platformer,N,Beaten,,,,,,,,
41,G0042,Super Columns,,GG,Puzzle,N,Infinite,,,,,,,,
42,G0043,Need for Speed III: Hot Pursuit,,PC,Racing,N,Completed,,,,1998-03-25 16:00:00,2019-01-25 16:00:00,2019-01-26 16:00:00,2019-01-28 16:00:00,
43,G0044,F-1 Race,,GBC,Racing,N,Completed,,,,2014-05-27 16:00:00,2014-05-27 16:00:00,2014-05-27 16:00:00,2014-05-27 16:00:00,
44,G0045,Kirby Tilt 'n' Tumble!,,GBC,Puzzle,N,Completed,,,,,,,,
45,G0046,Kirby's Dream Land,,GBC,Platformer,N,Completed,,,,,,,,
46,G0047,Kirby's Pinball Land,,GBC,Pinball,N,Completed,,,,,,,,
47,G0048,Marble Madness,,GBC,Platformer,N,Completed,,,,,,,,
48,G0049,Mario Golf,,GBC,Sports,N,Completed,,,,,,,,
49,G0050,Pokemon Pinball,,GBC,Pinball,N,Beaten,,,,,,,,
50,G0051,Pokemon Red,,GBC,RPG,N,Beaten,,,,,,,,
51,G0052,Pokemon Silver,,GBC,RPG,N,Completed,,,,,,,,
52,G0053,Pokemon Trading Card Game,,GBC,TCG,N,Completed,,,,,,,,
53,G0054,Pokemon Yellow,,GBC,RPG,N,Beaten,,,,,,,,
54,G0055,Super Mario Land,,GBC,Platformer,N,Completed,,,,,,,,
55,G0056,Super Mario Land 2: Six Golden Coins,,GBC,Platformer,N,Completed,,,,,,,,
56,G0057,The Legend of Zelda: Link's Awakening,,GBC,Action-adventure,N,Completed,,,,,,,,
57,G0058,Crazy Taxi,,DC,Racing,N,Completed,,,,,,,,
58,G0059,Gauntlet Legends,,DC,Hack & Slash,N,Completed,,,,,,,,
59,G0060,Hydro Thunder,,DC,Racing,N,Completed,,,,,,,,
60,G0061,Matt Hoffman's Pro BMX,,DC,Sports,N,Completed,,,,,,,,
61,G0062,NFL 2K1,,DC,Sports,N,Beaten,,,,,,,,
62,G0063,Power Stone,,DC,Fighting,N,Completed,,,,,,,,
63,G0064,Power Stone 2,,DC,Fighting,N,Beaten,,,,,,,,
64,G0065,Q*bert,,DC,Puzzle,N,Completed,,,,,,,,
65,G0066,Sega Bass Fishing,,DC,Sports,N,Completed,,,,,,,,
66,G0067,Sega GT,,DC,Racing,N,Beaten,,,,,,,,
67,G0068,Sonic Adventure,,DC,Platformer,N,Completed,,,,2012-12-01 16:00:00,2012-12-01 16:00:00,2012-12-01 16:00:00,2012-12-01 16:00:00,
68,G0069,Virtua Tennis,,DC,Sports,N,Completed,,,,,,,,
69,G0070,Advance Wars,,GBA,Turn-based tactics,N,Completed,55.0,0.0,Actual,,,,,Playtime estimated...but it's a true 100%.
70,G0071,Advance Wars 2: Black Hole Rising,,GBA,Turn-based tactics,N,Completed,45.0,0.0,Actual,,,,,Playtime estimated...but it's a true 100%.
71,G0072,Final Fantasy,,GBA,JRPG,N,Completed,21.0,39.0,Actual,,,,,
72,G0073,Final Fantasy II,,GBA,JRPG,N,Completed,6.0,13.0,Actual,,,,,
73,G0074,Final Fantasy IV,,GBA,JRPG,N,Completed,35.0,7.0,Actual,,,,,
74,G0075,Final Fantasy Tactics Advance,,GBA,Turn-based tactics,N,Completed,97.0,35.0,Actual,,,,,
75,G0076,Final Fantasy V,,GBA,JRPG,N,Beaten,32.0,9.0,Actual,,,,,
76,G0077,F-Zero: Maximum Velocity,,GBA,Racing,N,Completed,,,,,,,,
77,G0078,Golden Sun,,GBA,JRPG,N,Completed,29.0,59.0,Actual,,,,,
78,G0079,Golden Sun: The Lost Age,,GBA,JRPG,N,Mastered,54.0,0.0,Actual,,,,,Playtime estimated...but it's a true 100%.
79,G0080,Kirby & The Amazing Mirror,,GBA,Platformer,N,Completed,,,,,,,,
80,G0081,Kirby: Nightmare in Dream Land,,GBA,Platformer,N,Completed,,,,,,,,
81,G0082,Mario vs. Donkey Kong,,GBA,Puzzle,N,Completed,,,,,,,,
82,G0083,Matt Hoffman's Pro BMX,,GBA,Sports,N,Completed,,,,,,,,
83,G0084,Metal Slug Advance,,GBA,Shoot 'em up,N,Beaten,,,,,,,,
84,G0085,Pokemon Ruby,,GBA,RPG,N,Completed,300.0,0.0,Estimate,,,,,Top 10 most regrettable trade-ins...playtime estimated.
85,G0086,Super Mario World: Super Mario Advance 2,,GBA,Platformer,N,Completed,,,,,,,,
86,G0087,The Legend of Zelda: A Link to the Past/Four Swords,,GBA,Action-adventure,N,Completed,,,,,,,,
87,G0088,"Wario Ware, Inc. Mega Microgame$!",,GBA,Rhythm,N,Completed,,,,,,,,
88,G0089,Animal Crossing,,GCN,Simulation,N,Infinite,,,,,,,,
89,G0090,Baten Kaitos: Eternal Wings and the Lost Ocean,,GCN,JRPG,N,Beaten,,,,,,,,
90,G0091,Donkey Konga,,GCN,Rhythm,N,Beaten,,,,,,,,
91,G0092,Final Fantasy Crystal Chronicles,,GCN,JRPG,N,Completed,,,,,,,,
92,G0093,Hello Kitty: Roller Rescue,,GCN,Platformer,N,Completed,,,,,,,,
93,G0094,Kirby Air Ride,,GCN,Racing,N,Completed,,,,,,,,
94,G0095,Luigi's Mansion,,GCN,Action-adventure,N,Completed,,,,,,,,
95,G0096,Mario Golf Toadstool Tour (Target Special Edition),,GCN,Sports,N,Beaten,,,,,,,,
96,G0097,Mario Kart: Double Dash!!,,GCN,Racing,N,Completed,,,,,,,,
97,G0098,Metroid Prime,,GCN,Metroidvania,N,Completed,14.0,20.0,Actual,,,,,
98,G0099,Metroid Prime 2: Echoes,,GCN,Metroidvania,N,Beaten,14.0,34.0,Actual,,,,,
99,G0100,PAC-MAN World 2,,GCN,Platformer,N,Beaten,10.0,42.0,Actual,,,,,
100,G0101,Paper Mario: The Thousand Year Door,,GCN,RPG,N,Beaten,22.0,44.0,Actual,,,,,
101,G0102,Pikmin,,GCN,Real-time strategy,N,Completed,,,,,,,,
102,G0103,Shadow the Hedgehog,,GCN,Platformer,N,Completed,,,,,,,,
103,G0104,Sonic Adventure 2: Battle,,GCN,Platformer,N,Beaten,24.0,55.0,Actual,,,,,
104,G0105,Super Mario Sunshine,,GCN,Platformer,N,Completed,,,,,,,,
105,G0106,Super Monkey Ball 2,,GCN,Platformer,N,Completed,,,,,,,,
106,G0107,Super Smash Bros. Melee,,GCN,Fighting,N,Completed,286.0,14.0,Actual,,,,,
107,G0108,The Legend of Zelda: Four Swords Adventures,,GCN,Action-adventure,N,Completed,,,,,,,,
108,G0109,The Legend of Zelda: Twilight Princess,,GCN,Action-adventure,N,Beaten,,,,,,,,
109,G0110,The Legend of Zelda: Wind Waker,,GCN,Action-adventure,N,Beaten,,,,,,,,
110,G0111,Tony Hawk's Pro Skater 4,,GCN,Sports,N,Completed,,,,,,,,
111,G0112,Wario Ware Inc: Mega Party Games!,,GCN,Rhythm,N,Beaten,,,,,,,,
112,G0113,ATV Offroad Fury 3,,PS2,Racing,N,Completed,18.0,20.0,Actual,,,,,
113,G0114,Dance Dance Revolution Extreme (JP),,PS2,Rhythm,N,Completed,,,,,,,,
114,G0115,Dance Dance Revolution Extreme 2,,PS2,Rhythm,N,Completed,,,,,,,,
115,G0116,Dance Dance Revolution SuperNOVA,,PS2,Rhythm,N,Completed,,,,,,,,
116,G0117,Dance Dance Revolution SuperNOVA 2,,PS2,Rhythm,N,Completed,,,,,,,,
117,G0118,Dance Dance Revolution X,,PS2,Rhythm,N,Completed,,,,,,,,
118,G0119,DDRMAX: Dance Dance Revolution,,PS2,Rhythm,N,Completed,,,,,,,,
119,G0120,DDRMAX2: Dance Dance Revolution (JP),,PS2,Rhythm,N,Completed,,,,,,,,
120,G0121,Devil May Cry,,PS2,Hack & Slash,N,Beaten,6.0,11.0,Actual,2013-10-28 16:00:00,2013-10-28 16:00:00,2013-10-31 16:00:00,,
121,G0122,Devil May Cry 2,,PS2,Hack & Slash,N,Beaten,3.0,34.0,Actual,2013-10-31 16:00:00,2013-10-31 16:00:00,2013-11-14 16:00:00,,
122,G0123,DT Racer,,PS2,Racing,N,Completed,,,,,,,,
123,G0124,Duel Masters,,PS2,TCG,N,Beaten,,,,,,,,
124,G0125,Final Fantasy IX,,PS,JRPG,N,Beaten,35.0,21.0,Actual,,,,,
125,G0126,Final Fantasy V,,PS,JRPG,N,Beaten,,,,,,,,
126,G0127,Final Fantasy VI,,PS,JRPG,N,Beaten,28.0,3.0,Actual,,,,,
127,G0128,Final Fantasy VII,,PS,JRPG,N,Beaten,30.0,20.0,Actual,,,,,
128,G0129,Final Fantasy VIII,,PS,JRPG,N,Beaten,36.0,9.0,Actual,,,,,
129,G0130,Final Fantasy X,,PS2,JRPG,N,Beaten,32.0,35.0,Actual,,,,,
130,G0131,Final Fantasy X-2,,PS2,JRPG,N,Beaten,18.0,49.0,Actual,2013-10-09 16:00:00,2013-10-09 16:00:00,2013-10-09 16:00:00,,
131,G0132,Final Fantasy XII: Collector's Edition,,PS2,JRPG,N,Beaten,62.0,43.0,Actual,,,,,
132,G0133,In The Groove,,PS2,Rhythm,N,Beaten,,,,,,,,
133,G0134,Kingdom Hearts,,PS2,Action RPG,N,Beaten,26.0,58.0,Actual,2013-05-23 16:00:00,2013-05-23 16:00:00,2013-05-23 16:00:00,,
134,G0135,Kingdom Hearts II,,PS2,Action RPG,N,Beaten,30.0,37.0,Actual,2013-05-23 16:00:00,2013-05-23 16:00:00,2013-07-25 16:00:00,,
135,G0136,NCAA Football 06,,PS2,Sports,N,Beaten,,,,,,,,
136,G0137,Sly 2: Band of Thieves,,PS2,Stealth,N,Completed,11.0,18.0,Actual,,,,,
137,G0138,Sly Cooper and the Thievius Raccoonus,,PS2,Stealth,N,Completed,,,,,,,,
138,G0139,Spy Hunter,,PS2,Vehicular combat,N,Completed,,,,,,,,
139,G0140,Star Wars Battlefront II,,PS2,TPS,N,Beaten,19.0,17.0,Actual,,,,,
140,G0141,Advance Wars: Days of Ruin,,NDS,Turn-based tactics,N,Beaten,50.0,49.0,Actual,,,,,
