,_id,note,season
0,5fff9cd320dd182228261576,2013 was the inaugural year of Mildred League. Brando was technically running the league at this point with Tarpey as co-commissioner.,2013
1,5fff9cd320dd182228261579,"In the four-team playoff, Tarpey edged a 218-214 win over Brando in the semifinals and went on to upset the #1 seed Christian in the finals.",2013
2,5fff9cd320dd182228261577,"The original name of the league was ""El Futbol Drafto"", and the championship game was still known as the ""Drafto Bowl"".",2013
3,5fff9cd320dd182228261578,"Bryant's 0-13 record this year stood as the worst regular season in league history until 2018, when Mildred's Redskins posted an 0-14 regular season record.",2013
4,5fff9cec20dd18222826157c,"The 2014 season marked the beginning of the ""Winners Get Wings"" tradition in Mildred League (Arthur's team name). For the next 5 seasons, the champion received a $25 gift card (sometimes BWW, sometimes cash...or in Brando's case I just bought him dinner).",2014
5,5fff9cec20dd18222826157e,"At 1,240 points for in the regular season, Brando had the rightful claim to the title and proceeded to win both of his playoff games handily.",2014
6,5fff9cec20dd18222826157d,"The league expanded to 12 teams, but still had a clear top cut for the second year in a row. Four teams went 10-3 and made playoffs. The next best record was 7-5.",2014
7,5fff9d0020dd182228261581,Another expansion in 2015 resulted in a 14-team league (which was initially met with some protest).,2015
8,5fff9d0020dd182228261584,This was the beginning of a string of heartbreaks for both Samik (2nd) and Conti (3rd).,2015
9,5fff9d0020dd182228261582,2015 was a tale of two divisions. East Coast Bias finished the season with 5 teams within 1.5 games of each other. The half-game was Conti's doing. His tie with Matt in week 2 ended up being the division winner for him.,2015
10,5fff9d0020dd182228261583,"None of what happened in ECB mattered though, because the new champ would come from the West. Fonti went 11-2 in the regular season and blew out both of his playoff matchups.",2015
11,5fff9d1520dd182228261587,By 2016 the league had scaled back to 12 teams and was largely run through a Facebook group.,2016
12,5fff9d1520dd182228261588,"This season marked a complete fall from grace for Tarpey: after winning the inaugural season, he finished dead last this year.",2016
13,5fff9d1520dd18222826158a,A competitive two-week final between Frank and Conti resulted in Frank's first championship. The heartbreakers for Conti (2nd) and Samik (4th) continued...,2016
14,5fff9d1520dd182228261589,"Division record tiebreakers had not yet been implemented, so Points For ended up deciding the three-way tie at 9-4 for the #2/#3/#4 seeds. In a heartbreaker, Fonti (8-5) finished one game out of playoffs and missed out on his chance to be the only back-to-back champion.",2016
15,5fff9d2720dd18222826158d,"Year 5 of Mildred League gave birth to the modern divisional format, somewhat inspired by MLB (3 divisions of 5/5/4 teams). The goal was to place more emphasis on divisional rivalries and winning the division - this has largely been successful!",2017
16,5fff9d2720dd182228261590,Fonti got revenge for his playoff miss in 2016 and became the first repeat champion.,2017
17,5fff9d2720dd18222826158f,"Brando did the commissioner a favor and avoided tiebreaker hell by securing the only wild card spot (despite an extremely low Points For total for the season). Just behind him, FOUR other teams finished at 7-6...",2017
18,5fff9d2720dd18222826158e,"Fonti won the Champions division handily, but the other two divisions were much more competitive. Sendzik edged out the AFC East by one game, and Charles did the same in the Referees division.",2017
19,5fff9d4620dd182228261593,"The prior season revealed that the new three-division format could work, but it needed an equivalent playoff overhaul. In 2018 the playoffs were expanded to 6 teams (3 division winners and 3 wild cards) and tiebreakers were overhauled to put more emphasis on winning divisional games.",2018
20,5fff9d4620dd182228261594,The regular season was expanded to 14 games to accommodate three playoff rounds (and playoff matchups were shortened to one game instead of two).,2018
21,5fff9d4620dd182228261598,Conti (2nd) and Samik (4th) once again came up just short of a title. =[,2018
22,5fff9d4620dd182228261596,The Champions and AFC East divisions had clear cut winners (Samik in particular seemed poised to finally break through with a record Points For total).,2018
23,5fff9d4620dd182228261599,"After a mostly-Washington draft, Mildred's Redskins set the record for the worst regular season performance of all time at 0-14.",2018
24,5fff9d4620dd182228261597,The playoffs were chaos (see the bracket below). The only chalk was Tarpey winning his second title. Every other matchup was a seeding upset.,2018
25,5fff9d4620dd182228261595,"The consolation bracket was also overhauled into a Swiss tournament, where the 3-0 team would receive their choice of draft order in the next season.",2018
26,5fff9d6820dd18222826159e,"Comeback story of the year belonged to Mildred, who turned an 0-14 year into 9-5 and a division win + playoff berth.",2019
